,SessionId,ItemId,Timestamps
489,14,190,16205
490,100,195,8968
491,10,5,17824
492,78,46,4470
493,108,97,6172
494,34,95,13407
495,89,151,19646
496,101,127,15354
497,66,40,15227
498,72,170,19922
499,102,83,19877
500,123,97,12733
501,69,61,16370
502,193,73,7240
503,32,11,9938
504,65,30,12064
505,103,5,9518
506,6,34,13115
507,15,144,15763
508,196,128,7431
509,176,186,5780
510,181,182,16025
511,151,1,11149
512,29,134,7397
513,196,58,8334
514,188,39,13907
515,188,188,8992
516,49,50,7894
517,153,83,16846
518,83,160,8079
519,142,122,9897
520,142,200,19562
521,48,138,19422
522,13,97,15432
523,25,48,2721
524,73,138,7785
525,15,15,15849
526,101,140,13707
527,81,61,15256
528,36,55,9325
529,151,80,19541
530,81,45,2401
531,191,124,3979
532,2,121,9721
533,110,44,19509
534,49,46,12280
535,25,159,10615
536,149,185,845
537,109,162,15461
538,184,74,18356
539,53,101,1984
540,99,96,12453
541,69,85,8118
542,93,199,1778
543,56,187,8819
544,31,96,4068
545,144,50,11047
546,18,156,2197
547,6,199,15827
548,20,45,18759
549,165,163,8521
550,103,70,10841
551,34,68,16809
552,186,50,2340
553,87,81,8384
554,101,142,3749
555,82,126,3815
556,177,128,8036
557,148,106,14348
558,59,3,12786
559,146,156,9776
560,166,25,16561
561,125,187,430
562,176,148,13168
563,132,182,15002
564,191,56,9703
565,44,123,14106
566,42,82,8736
567,3,50,2404
568,142,93,7055
569,158,182,13721
570,32,80,17813
571,139,36,5466
572,181,161,14475
573,132,114,12930
574,60,1,743
575,63,39,9487
576,100,189,13329
577,132,160,10130
578,66,47,14591
579,77,147,14350
580,148,52,5893
581,44,175,15629
582,197,107,3729
583,116,23,5669
584,109,7,12321
585,141,126,13487
586,36,127,3256
587,174,160,9715
588,59,111,3015
589,98,157,16175
590,71,43,13550
591,169,115,4171
592,9,76,10400
593,179,117,3760
594,159,171,19146
595,144,181,18490
596,91,54,11262
597,170,187,5163
598,29,24,1943
599,36,51,2887
600,117,128,6284
601,15,142,17421
602,34,6,5534
603,136,47,9969
604,116,30,8552
605,86,25,18178
606,9,39,18840
607,119,59,9372
608,32,13,19360
609,67,51,3627
610,29,103,18855
611,82,106,12324
612,165,171,19594
613,156,94,3022
614,151,122,19855
615,48,153,18637
616,11,7,16330
617,7,141,4522
618,39,119,10501
619,183,164,12695
620,59,50,7619
621,33,193,13830
622,40,152,17593
623,81,91,11879
624,198,179,1198
625,164,54,1963
626,164,180,5075
627,32,4,8097
628,103,144,3301
629,142,17,14571
630,179,13,17805
631,139,124,14200
632,40,103,13700
633,149,172,11981
634,40,113,3267
635,17,145,6527
636,70,131,2791
637,139,62,19597
638,68,115,3029
639,130,73,9836
640,195,151,16548
641,184,182,14493
642,19,14,16669
643,195,23,4895
644,74,187,19740
645,192,146,1446
646,93,120,12840
647,147,47,6524
648,148,55,17290
649,110,17,1718
650,133,67,9991
651,63,188,4523
652,165,82,15405
653,165,176,16170
654,199,12,7872
655,149,189,15833
656,9,197,11911
657,184,174,7274
658,103,170,13005
659,91,108,11827
660,101,101,1457
661,76,87,7302
662,132,95,10826
663,40,128,2843
664,200,93,9645
665,9,96,6413
666,109,144,2380
667,119,113,10983
668,153,84,583
669,22,76,7477
670,75,141,10591
671,128,141,4872
672,183,125,6160
673,0,101,12725
674,151,56,16056
675,75,186,6234
676,66,106,17364
677,159,151,5217
678,72,153,2767
679,150,75,13830
680,89,82,8452
681,99,193,19157
682,92,197,7046
683,66,9,15608
684,77,117,5413
685,180,137,17239
686,121,166,13801
687,139,146,18841
688,139,105,14122
689,192,22,6737
690,40,50,612
691,13,51,3129
692,26,121,3520
693,144,157,7635
694,81,48,3237
695,59,168,13650
696,197,88,1403
697,49,92,2648
698,30,75,18416
699,14,37,6089
700,126,199,18480
701,8,71,19657
702,39,49,19814
703,125,148,6967
704,152,109,12902
705,178,122,13931
706,132,75,13128
707,152,99,2936
708,117,147,10129
709,92,113,17740
710,164,195,15051
711,82,3,17224
712,58,111,10113
713,65,110,9048
714,165,60,15437
715,102,191,1048
716,72,169,14271
717,157,121,15324
718,26,193,10300
719,188,11,6300
720,27,40,13977
721,74,186,15698
722,113,14,7560
723,133,87,5842
724,167,137,12717
725,79,66,16664
726,82,146,12716
727,28,136,16564
728,126,24,18977
729,55,134,2290
730,87,34,13379
731,93,61,13753
732,54,84,7674
733,10,129,2927
734,99,83,19442
735,46,100,17032
736,98,174,19027
737,93,34,14256
738,131,2,12502
739,9,28,2299
740,81,137,19101
741,105,180,13851
742,145,180,7343
743,185,29,12936
744,162,5,15813
745,192,68,18276
746,169,139,1761
747,1,42,7809
748,131,79,15020
749,136,8,19997
750,79,1,6749
751,10,184,5823
752,11,162,11984
753,1,74,19234
754,37,33,11364
755,158,56,2569
756,38,138,1643
757,48,150,14895
758,178,44,2931
759,15,70,4418
760,170,140,13546
761,154,83,12623
762,130,198,12557
763,108,19,2510
764,7,167,2225
765,99,105,18366
766,89,175,4602
767,161,24,2187
768,13,171,9882
769,193,184,2729
770,150,153,10357
771,25,174,15075
772,4,83,16981
773,33,173,5952
774,38,73,10050
775,177,55,9268
776,5,14,17768
777,45,89,4538
778,153,45,15200
779,41,53,3008
780,108,48,8260
781,104,119,14806
782,131,138,19659
783,179,18,3457
784,200,168,8359
785,2,9,10123
786,55,48,6456
787,122,87,6982
788,97,9,7125
789,14,199,8887
790,29,144,696
791,115,18,17585
792,79,5,7280
793,147,86,15765
794,160,94,146
795,100,33,18316
796,49,100,10271
797,176,130,7996
798,12,7,9315
799,119,48,7730
800,181,89,8529
801,71,72,19441
802,76,72,16413
803,179,193,13469
804,27,161,4599
805,176,55,19269
806,104,35,17750
807,134,114,7356
808,42,168,332
809,154,129,11713
810,52,10,17783
811,165,102,8673
812,182,23,15003
813,188,20,4428
814,114,90,17597
815,185,51,15414
816,63,127,4216
817,180,53,12754
818,61,181,16500
819,95,87,3270
820,173,160,16817
821,25,106,17330
822,74,19,968
823,190,159,17131
824,179,67,7588
825,109,31,17426
826,21,183,3131
827,113,90,81
828,168,78,13963
829,62,38,16881
830,173,52,19449
831,87,89,19242
832,162,29,8279
833,132,48,8793
834,32,103,8665
835,55,162,19479
836,194,147,13728
837,45,20,11852
838,153,34,15202
839,66,136,7077
840,39,39,4566
841,167,52,15229
842,11,144,6264
843,96,17,14405
844,163,71,6165
845,198,137,17746
846,133,146,16472
847,50,36,13112
848,0,94,3663
849,61,159,2812
850,166,16,12478
851,105,17,15067
852,195,52,13
853,119,167,9456
854,2,78,6918
855,136,155,14549
856,119,19,19100
857,196,15,18836
858,20,1,17693
859,98,102,17789
860,69,30,2192
861,116,55,10985
862,191,189,19332
863,50,3,19540
864,11,78,7335
865,172,93,543
866,52,121,17532
867,23,119,1078
868,58,74,4723
869,109,127,8777
870,50,116,2329
871,147,109,6537
872,72,130,16711
873,63,170,15919
874,170,74,16994
875,170,3,18260
876,174,88,19199
877,59,65,15659
878,75,69,9986
879,107,98,14610
880,121,50,4048
881,58,109,3565
882,61,89,8178
883,14,163,15473
884,166,35,14819
885,160,20,2244
886,50,117,11994
887,168,7,3554
888,83,166,14869
889,189,178,10111
890,75,52,4221
891,19,158,16058
892,104,154,17544
893,100,101,7491
894,74,130,4097
895,144,191,5250
896,96,57,18384
897,44,0,18285
898,86,70,11230
899,65,119,1253
900,42,162,8334
901,8,6,8635
902,59,105,3489
903,185,128,8919
904,173,111,3671
905,54,47,2621
906,89,187,4084
907,121,199,15134
908,46,184,9493
909,175,15,21
910,7,53,90
911,26,84,13318
912,63,46,4915
913,20,9,18223
914,71,30,18189
915,78,140,6606
916,131,142,9984
917,77,154,7147
918,29,47,16497
919,174,138,2802
920,14,200,6607
921,23,141,15436
922,28,170,1128
923,162,138,12112
924,11,18,18329
925,72,149,5060
926,118,35,9744
927,83,55,15342
928,108,142,17133
929,148,78,15225
930,170,51,14698
931,96,17,15730
932,20,102,18549
933,142,117,9376
934,7,59,16362
935,4,164,5049
936,172,177,5145
937,194,13,1799
938,117,141,16379
939,127,185,10728
940,162,78,16689
941,50,99,14763
942,129,15,12393
943,108,171,16945
944,108,24,10943
945,97,99,19480
946,140,103,14154
947,189,116,9809
948,97,60,9004
949,91,101,8653
950,113,136,8770
951,102,41,11131
952,185,33,11395
953,90,65,10906
954,108,135,4456
955,150,82,7203
956,86,91,8599
957,55,100,13700
958,60,146,9874
959,72,145,9701
960,53,132,14620
961,86,197,6205
962,178,39,9226
963,17,102,18736
964,150,106,9591
965,185,186,3391
966,21,199,12339
967,2,129,14111
968,62,132,13690
969,97,123,19000
970,26,144,15566
971,34,105,14779
972,84,82,17894
973,79,74,9175
974,129,122,19210
975,84,134,5093
976,91,183,8098
977,141,154,12323
978,135,99,19633
979,147,2,13189
980,14,129,19856
981,182,176,11299
982,177,118,15764
983,183,15,7065
984,109,200,17199
985,121,186,6824
986,86,115,15001
987,175,144,12945
988,111,44,17747
989,6,15,8814
990,84,186,4319
991,158,6,19728
992,161,144,10886
993,95,80,18846
994,198,63,15022
995,109,128,10342
996,146,132,15932
997,78,178,877
998,106,196,709
999,120,192,8930
1000,75,80,1756
1001,153,111,11616
1002,112,130,17481
1003,107,157,12486
1004,85,182,16280
1005,24,136,11454
1006,194,26,4570
1007,182,84,9631
1008,82,90,7921
1009,55,41,18704
1010,99,96,14802
1011,161,35,18663
1012,131,10,6931
1013,75,149,19049
1014,197,193,9672
1015,100,149,6736
1016,174,60,274
1017,196,179,7973
1018,120,50,18399
1019,63,130,12302
1020,111,129,9635
1021,74,75,17978
1022,35,131,8518
1023,38,169,19922
1024,168,200,6831
1025,54,91,5556
1026,188,160,15205
1027,99,83,14804
1028,13,191,11121
1029,177,136,6858
1030,97,17,6527
1031,185,88,6094
1032,16,185,7673
1033,61,50,1005
1034,86,100,18662
1035,134,125,11986
1036,117,12,4945
1037,8,41,7572
1038,91,16,111
1039,33,33,19066
1040,38,106,9148
1041,121,61,13443
1042,143,196,15840
1043,53,148,1223
1044,171,113,3828
1045,3,113,11626
1046,159,57,6677
1047,154,157,19414
1048,192,93,17313
1049,31,47,5166
1050,147,10,11574
1051,129,5,12063
1052,71,167,4222
1053,130,108,2587
1054,141,142,13943
1055,120,196,7306
1056,147,33,19708
1057,155,166,6209
1058,39,120,15763
1059,102,19,2436
1060,82,40,18579
1061,86,7,10576
1062,99,35,18469
1063,41,38,12568
1064,26,120,6083
1065,78,153,13631
1066,48,173,16992
1067,184,152,14553
1068,64,6,4081
1069,126,166,2411
1070,187,6,11102
1071,145,162,3797
1072,145,182,10923
1073,141,169,6350
1074,92,79,19107
1075,60,15,12963
1076,20,188,7884
1077,100,144,13156
1078,6,122,13192
1079,99,150,15049
1080,133,113,15796
1081,100,71,8111
1082,110,183,13393
1083,167,157,6410
1084,165,17,19539
1085,126,105,4155
1086,167,108,3621
1087,165,115,523
1088,62,160,10882
1089,75,108,2371
1090,75,116,13648
1091,158,150,9651
1092,16,48,8981
1093,28,158,7713
1094,147,73,1348
1095,67,1,10514
1096,87,27,10453
1097,129,76,6487
1098,73,113,11504
1099,101,189,16475
1100,127,24,17602
1101,189,178,1764
1102,82,181,9861
1103,190,28,9569
1104,121,136,14551
1105,98,76,7371
1106,190,57,4845
1107,120,135,6373
1108,109,74,8778
1109,114,12,6071
1110,71,141,12732
1111,164,150,7522
1112,91,3,9483
1113,15,7,10202
1114,37,79,2076
1115,134,73,5252
1116,193,131,16124
1117,125,142,14243
1118,59,12,5223
1119,1,36,9360
1120,150,83,13615
1121,40,103,12674
1122,199,187,17208
1123,27,169,1022
1124,97,39,12489
1125,133,32,14435
1126,98,79,15311
1127,6,168,15621
1128,37,153,4118
1129,115,183,9518
1130,113,29,12460
1131,147,115,13177
1132,32,16,14534
1133,1,63,14196
1134,146,27,18094
1135,153,185,1114
1136,172,151,11705
1137,138,64,16478
1138,155,88,12289
1139,117,133,781
1140,105,129,19676
1141,152,85,15445
1142,188,144,16925
1143,64,184,16818
1144,124,30,19077
1145,69,43,11935
1146,177,57,5786
1147,25,92,4145
1148,117,148,750
1149,86,199,6055
1150,79,132,13822
1151,166,95,7827
1152,169,167,10851
1153,28,82,17636
1154,168,111,18049
1155,164,61,14054
1156,129,166,3684
1157,160,65,11751
1158,82,176,3847
1159,61,162,7183
1160,62,39,17822
1161,68,54,14234
1162,35,137,2595
1163,17,10,1608
1164,67,148,8043
1165,2,132,18511
1166,72,17,1001
1167,103,129,9076
1168,151,101,2338
1169,123,47,2396
1170,102,150,9888
1171,67,170,19209
1172,173,179,12245
1173,131,182,5334
1174,178,147,5964
1175,114,15,8079
1176,191,89,18829
1177,160,194,3170
1178,69,182,3827
1179,59,193,4746
1180,116,96,4102
1181,9,189,15633
1182,198,44,7076
1183,43,111,1924
1184,191,70,1617
1185,107,52,4944
1186,54,110,12921
1187,195,86,19736
1188,74,53,13618
1189,9,92,3090
1190,141,176,4264
1191,42,46,2720
1192,1,103,7246
1193,71,171,2458
1194,106,157,6220
1195,37,118,8151
1196,88,5,3874
1197,143,168,18477
1198,51,175,17170
1199,63,35,10370
1200,183,79,13603
1201,108,56,7080
1202,129,15,15118
1203,159,28,17096
1204,14,195,9235
1205,126,150,17800
1206,76,56,9573
1207,17,125,7867
1208,198,192,3733
1209,157,23,4992
1210,72,40,6694
1211,122,123,1948
1212,134,134,573
1213,192,69,10191
1214,158,65,10853
1215,1,139,3848
1216,189,97,4131
1217,86,62,2494
1218,77,147,15674
1219,85,73,1628
1220,96,150,1576
1221,111,3,13617
1222,176,74,19195
1223,179,106,705
1224,49,2,18128
1225,25,131,2045
1226,1,132,5996
1227,161,99,9142
1228,167,63,10407
1229,123,87,984
1230,88,140,13965
1231,136,179,6217
1232,54,92,19699
1233,34,52,5009
1234,26,124,17349
1235,8,110,15963
1236,120,130,11888
1237,77,17,3988
1238,8,134,857
1239,29,150,15997
1240,76,27,4408
1241,108,26,5912
1242,136,5,2510
1243,129,75,10532
1244,161,44,762
1245,22,156,14184
1246,112,82,5316
1247,156,111,19432
1248,122,150,12891
1249,185,61,6763
1250,188,140,17854
1251,85,176,1690
1252,186,146,2888
1253,181,183,2831
1254,9,117,9087
1255,196,82,5700
1256,194,179,1604
1257,129,145,7898
1258,31,27,18903
1259,110,122,10153
1260,76,9,16417
1261,152,159,18799
1262,90,155,5525
1263,98,183,7800
1264,182,123,11111
1265,173,141,9563
1266,115,124,9530
1267,119,120,11370
1268,126,74,5120
1269,133,140,11998
1270,24,188,12983
1271,14,195,11834
1272,198,172,6025
1273,158,35,8564
1274,92,134,3212
1275,72,3,8570
1276,97,135,15200
1277,118,87,7689
1278,122,51,11394
1279,167,18,17936
1280,151,32,14257
1281,120,47,12719
1282,140,114,12303
1283,7,132,1190
1284,72,15,12523
1285,9,81,9321
1286,24,155,11743
1287,138,29,2239
1288,106,148,5870
1289,131,171,1106
1290,6,78,16454
1291,26,119,15717
1292,196,0,4890
1293,21,13,12686
1294,52,90,10083
1295,185,98,19690
1296,135,157,9281
1297,151,31,10224
1298,35,0,17825
1299,86,188,4710
1300,106,105,1728
1301,22,193,11808
1302,22,24,1552
1303,172,29,5781
1304,177,6,2068
1305,160,173,14609
1306,56,189,11663
1307,108,48,10966
1308,36,38,6068
1309,177,117,19948
1310,134,192,16510
1311,24,1,15626
1312,69,35,12151
1313,3,150,2102
1314,99,110,9282
1315,194,146,4365
1316,102,93,7794
1317,56,170,4432
1318,114,77,2758
1319,54,51,17285
1320,199,146,12769
1321,119,108,19299
1322,84,66,2422
1323,67,73,3763
1324,53,153,14827
1325,98,198,18009
1326,76,163,7069
1327,85,7,18590
1328,140,121,19712
1329,67,126,9109
1330,51,159,12117
1331,159,71,10009
1332,128,94,18718
1333,194,96,1158
1334,46,181,2485
1335,87,118,15524
1336,11,170,4053
1337,163,131,9265
1338,32,182,13539
1339,97,73,5132
1340,180,163,3493
1341,8,121,9249
1342,13,185,19795
1343,179,39,4494
1344,33,142,8632
1345,43,98,17994
1346,23,25,10047
1347,158,85,9551
1348,132,85,6538
1349,18,144,16919
1350,54,25,14726
1351,22,32,18421
1352,31,150,13471
1353,144,10,14586
1354,28,19,2063
1355,116,192,13382
1356,42,44,8957
1357,118,147,2139
1358,17,34,6136
1359,94,33,15679
1360,7,158,16077
1361,43,117,19334
1362,75,170,4137
1363,145,89,4636
1364,185,99,12011
1365,25,150,3194
1366,85,88,11162
1367,146,101,4177
1368,88,197,18172
1369,170,51,19864
1370,120,25,18645
1371,107,178,402
1372,61,107,15400
1373,118,11,4263
1374,137,148,3382
1375,33,45,3330
1376,115,160,1786
1377,47,44,619
1378,17,31,14371
1379,63,15,18732
1380,17,131,13579
1381,75,116,1572
1382,19,4,18187
1383,10,127,1973
1384,193,45,7617
1385,128,35,8810
1386,189,87,1261
1387,71,157,9790
1388,19,141,6121
1389,92,118,9803
1390,156,87,7912
1391,49,147,4474
1392,23,89,14128
1393,133,194,19835
1394,6,8,5574
1395,152,116,1685
1396,9,186,13836
1397,45,187,16345
1398,37,57,4716
1399,151,62,12341
1400,39,198,1464
1401,76,88,11433
1402,58,122,16690
1403,58,159,9753
1404,59,143,4489
1405,12,133,6263
1406,10,130,8659
1407,175,119,12809
1408,103,24,10462
1409,38,0,6415
1410,111,77,12253
1411,189,65,9392
1412,178,76,3196
1413,7,20,12047
1414,59,135,18509
1415,4,181,17867
1416,126,45,17505
1417,5,188,14131
1418,41,36,8499
1419,71,71,10134
1420,128,113,19207
1421,158,36,7634
1422,109,157,19385
1423,154,74,1137
1424,139,196,3655
1425,90,84,1973
1426,120,117,18723
1427,161,103,8121
1428,67,43,3053
1429,144,117,4931
1430,119,193,9217
1431,105,79,17057
1432,195,58,10378
1433,26,143,7309
1434,2,24,6175
1435,110,38,16804
1436,182,33,11363
1437,71,158,10868
1438,121,104,16716
1439,67,89,16321
1440,107,30,1809
1441,150,84,8037
1442,72,179,9732
1443,60,161,6013
1444,117,79,4605
1445,183,45,16574
1446,105,106,10128
1447,127,157,16478
1448,147,125,1345
1449,161,133,13787
1450,112,153,7347
1451,170,17,17631
1452,172,15,12149
1453,50,125,15630
1454,174,39,16386
1455,19,193,10206
1456,2,197,15475
1457,168,197,16478
1458,86,154,11192
1459,151,23,1107
1460,55,124,10500
1461,174,155,12102
1462,184,106,13934
1463,156,180,6524
1464,57,12,17053
1465,44,189,16349
1466,143,181,11679
1467,0,194,9609
1468,36,158,3168
1469,110,21,4644
1470,4,1,14423
1471,6,138,10459
1472,197,97,6857
1473,71,4,862
1474,74,179,17487
1475,185,84,8691
1476,28,156,17903
1477,199,45,16504
1478,173,59,13546
1479,186,87,11706
1480,91,65,14932
1481,91,183,12253
1482,148,40,1406
1483,178,72,3788
1484,134,141,17115
1485,54,125,14174
1486,162,193,1755
1487,199,98,780
1488,26,22,6490
1489,27,129,7788
1490,130,90,18373
1491,152,76,17738
1492,183,26,1155
1493,148,159,14997
1494,67,49,10971
1495,84,70,8653
1496,62,8,3444
1497,181,200,18640
1498,109,137,4050
1499,180,104,18478
1500,57,86,18694
